start,end,label
0.0,1.296,Further
1.3,2.743,Ball
2.743,4.191,Further
4.191,17.265,Ball
17.27,18.617,Further
18.617,19.617,Ball
19.617,20.648,Further
20.648,21.634,Ball
21.634,21.839,My controller
21.839,24.096,Ball
24.096,24.422,Partner's controller
24.422,24.861,Further
24.861,25.078,Ball
25.078,25.848,Further
25.848,29.478,Ball
29.478,30.017,Further
30.017,30.861,Ball
30.861,31.478,Further
31.478,32.63,Ball
32.635,34.452,Further
34.452,34.943,Ball
34.943,44.557,Further
44.557,45.061,Parent
45.061,46.078,Further
46.078,46.7,Ball
46.7,48.252,Further
48.252,49.08,Ball
49.08,64.511,Further
64.511,64.759,Ball
64.759,67.814,Further
67.817,68.03,Ball
68.03,68.489,Further
68.489,75.949,Ball
75.949,76.558,Further
76.561,77.083,Ball
77.083,77.73,Further
77.73,83.067,Ball
83.067,83.562,Further
83.562,85.943,Ball
85.954,86.026,Further
86.026,94.253,Ball
94.263,95.49,Partner's controller
95.49,95.727,Ball
95.727,96.015,Further
96.015,101.118,Ball
101.119,101.399,Partner's controller
101.399,107.839,Ball
107.839,108.258,Further
108.258,108.455,My controller
108.458,111.045,Ball
111.045,113.882,Further
113.882,114.022,Ball
114.022,114.241,Further
114.241,114.762,Ball
114.768,119.423,Further
119.423,121.434,Ball
121.434,122.821,Further
122.825,125.935,Ball
125.935,128.814,Ball
128.814,129.223,Further
129.223,129.975,Ball
129.975,131.771,Further
131.771,132.017,Ball
132.017,137.975,Further
137.975,139.907,Ball
139.907,140.822,Partner's controller
140.822,142.941,Ball
142.949,144.136,Further
144.136,144.814,Ball
144.814,151.085,Further
151.085,153.381,Ball
153.381,155.356,Further
155.356,156.483,Ball
156.483,158.136,Further
158.136,159.187,Ball
159.187,159.754,Further
159.754,160.271,Ball
160.271,160.958,Partner's controller
160.96,161.665,Ball
161.665,161.851,Partner's controller
161.851,163.718,Ball
163.718,164.468,Further
164.468,166.379,Ball
166.379,171.304,Further
171.304,171.688,Ball
171.688,172.502,Further
172.502,175.276,Ball
175.276,182.157,Further
182.157,182.403,Ball
182.403,188.675,Further
188.675,189.542,Ball
189.542,193.717,Further
193.717,195.509,Ball
195.509,195.781,Further
195.781,197.866,Ball
197.866,198.619,Further
198.619,199.87,Ball
199.87,200.487,Further
200.487,201.049,Ball
201.053,201.866,Further
201.866,202.274,Ball
202.274,202.683,Further
202.683,202.913,Ball
202.913,209.361,Further
209.361,210.015,Ball
210.015,210.474,My controller
210.474,211.045,Ball
211.045,213.755,Further
213.756,213.877,Ball
213.877,216.157,Further
216.157,216.631,Parent
216.631,217.587,Further
217.587,217.984,Ball
217.984,222.6,Further
222.6,222.829,Ball
222.829,226.694,Further
226.694,227.178,Ball
227.178,229.071,Further
229.071,230.379,Ball
230.379,231.164,Further
231.164,232.327,Ball
232.327,232.908,Further
232.908,233.663,Ball
233.663,234.074,My controller
234.074,234.933,Ball
234.933,236.116,Further
236.116,236.818,Ball
236.818,237.431,My controller
237.431,239.631,Ball
239.631,244.859,Further
244.865,247.357,Ball
247.358,247.659,My controller
247.659,249.476,Ball
249.476,255.591,Further
255.591,256.374,Ball
256.374,257.004,Further
257.007,257.674,Ball
257.674,260.633,Further
260.633,260.8,Counter
