y,Time
0,0.0
0,5.055
0,5.104
0,5.138
0,5.171
0,5.204
0,5.238
0,5.271
0,5.304
0,5.338
0,5.372
0,5.405
0,5.438
0,5.488
0,5.521
0,5.555
0,5.588
0,5.622
0,5.655
0,5.689
0,5.722
0,5.755
0,5.789
0,5.822
0,5.855
0,5.888
0,5.922
0,5.955
0,5.988
0,6.022
0,6.056
0,6.089
0,6.122
0,6.156
0,6.189
0,6.222
0,6.256
0,6.289
0,6.323
0,6.356
0,6.389
0,6.423
0,6.455
0,6.489
0,6.523
0,6.556
0,6.589
0,6.622
0,6.656
0,6.689
0,6.722
0,6.772
0,6.906
0,6.956
0,6.99
0,7.023
0,7.057
0,7.09
0,7.123
0,7.156
0,7.19
0,7.223
0,7.257
0,7.29
0,7.323
0,7.357
0,7.39
0,7.424
0,7.457
0,7.49
0,7.524
0,7.557
0,7.59
0,7.624
0,7.657
0,7.69
0,7.723
0,7.758
0,7.791
0,7.824
0,7.857
0,7.891
0,7.924
0,7.957
0,7.991
0,8.024
0,8.057
0,8.091
0,8.174
0,8.525
0,8.608
0,8.708
4,8.742
7,8.775
9,8.809
11,8.842
12,8.875
14,8.909
15,8.942
17,8.975
19,9.008
22,9.042
24,9.075
26,9.109
27,9.142
28,9.175
30,9.209
31,9.242
32,9.275
33,9.309
34,9.342
35,9.392
35,9.425
36,9.459
36,9.492
37,9.526
37,9.559
38,9.592
38,9.625
38,9.659
37,9.692
37,9.726
36,9.759
35,9.792
35,9.826
34,9.859
34,9.892
34,9.926
34,9.959
35,9.993
38,10.026
41,10.06
43,10.093
46,10.126
48,10.16
49,10.193
51,10.226
52,10.26
53,10.293
53,10.327
54,10.359
55,10.393
56,10.427
58,10.46
59,10.493
60,10.527
61,10.56
62,10.593
63,10.626
64,10.66
64,10.693
65,10.727
66,10.76
67,10.793
68,10.827
68,10.86
68,10.894
66,10.927
62,10.961
56,10.994
50,11.027
46,11.06
42,11.094
41,11.128
40,11.161
39,11.194
39,11.227
39,11.261
38,11.294
38,11.327
38,11.36
38,11.394
38,11.428
38,11.46
38,11.494
39,11.527
40,11.56
40,11.594
41,11.645
41,11.678
41,11.711
41,11.744
42,11.778
42,11.811
42,11.844
42,11.877
42,11.912
42,11.945
42,11.978
42,12.012
43,12.045
43,12.078
43,12.112
43,12.145
43,12.178
43,12.212
43,12.245
43,12.278
43,12.313
43,12.345
43,12.379
43,12.412
44,12.445
44,12.478
44,12.512
44,12.545
44,12.579
44,12.612
44,12.645
44,12.679
45,12.712
45,12.746
46,12.779
46,12.812
47,12.845
48,12.878
49,12.912
50,12.946
51,12.979
52,13.012
53,13.046
54,13.079
55,13.112
56,13.146
57,13.179
58,13.212
59,13.246
60,13.279
62,13.313
64,13.346
65,13.379
67,13.412
69,13.446
70,13.479
70,13.513
71,13.546
72,13.579
73,13.613
74,13.646
75,13.68
76,13.713
77,13.747
78,13.78
80,13.813
81,13.846
82,13.88
82,13.913
83,13.947
83,13.98
83,14.014
84,14.047
84,14.08
84,14.113
84,14.147
85,14.18
85,14.213
85,14.247
85,14.28
86,14.314
86,14.347
87,14.38
88,14.414
89,14.464
90,14.497
90,14.53
92,14.564
93,14.597
94,14.631
95,14.664
96,14.697
97,14.73
98,14.764
99,14.797
99,14.83
100,14.864
100,14.897
101,14.931
101,14.964
101,14.998
102,15.031
102,15.064
102,15.098
103,15.132
103,15.165
104,15.199
105,15.232
106,15.264
108,15.298
110,15.33
113,15.365
116,15.398
118,15.432
119,15.464
121,15.498
122,15.532
123,15.565
123,15.598
123,15.632
124,15.665
125,15.698
126,15.732
127,15.765
128,15.798
130,15.832
132,15.865
134,15.898
137,15.932
139,15.965
142,15.999
144,16.032
147,16.065
149,16.099
151,16.132
153,16.165
155,16.198
157,16.232
159,16.266
161,16.299
164,16.332
166,16.365
167,16.399
168,16.432
168,16.499
167,16.533
167,16.566
167,16.599
167,16.632
167,16.666
167,16.699
167,16.733
167,16.766
167,16.799
167,16.833
167,16.866
167,16.899
167,16.933
170,16.966
176,17.0
182,17.033
188,17.066
193,17.099
198,17.133
203,17.167
208,17.199
212,17.233
216,17.267
219,17.3
221,17.333
223,17.367
226,17.4
228,17.433
230,17.467
232,17.5
234,17.533
235,17.567
237,17.6
238,17.634
240,17.667
241,17.7
242,17.734
243,17.767
244,17.8
244,17.834
244,17.867
244,17.9
244,17.934
244,17.967
242,18.0
240,18.034
238,18.067
237,18.1
236,18.134
236,18.167
235,18.201
235,18.234
235,18.267
235,18.301
236,18.334
236,18.367
236,18.401
236,18.434
236,18.467
236,18.501
236,18.534
237,18.568
238,18.601
241,18.635
243,18.668
246,18.701
249,18.735
251,18.769
252,18.801
253,18.835
254,18.868
255,18.901
256,18.935
257,18.968
258,19.002
260,19.036
262,19.068
265,19.102
267,19.135
269,19.168
271,19.202
273,19.235
274,19.269
275,19.302
275,19.335
275,19.368
276,19.402
276,19.435
276,19.468
276,19.502
277,19.535
278,19.569
279,19.602
280,19.635
281,19.669
281,19.702
282,19.736
282,19.769
282,19.802
282,19.835
283,19.869
283,19.902
283,19.936
283,19.969
283,20.003
284,20.036
284,20.07
284,20.102
285,20.136
285,20.169
285,20.202
286,20.236
287,20.319
288,20.421
289,20.486
290,20.52
291,20.553
292,20.603
293,20.72
294,20.787
297,20.82
300,20.853
302,20.887
305,20.92
307,20.954
309,20.987
311,21.02
312,21.053
313,21.086
314,21.12
315,21.153
316,21.187
318,21.22
319,21.254
320,21.287
321,21.337
321,21.37
322,21.42
322,21.454
323,21.487
328,21.52
335,21.554
337,21.588
338,21.621
339,21.655
341,21.687
342,21.722
343,21.754
343,21.787
344,21.821
345,21.904
346,21.938
347,21.972
348,22.005
348,22.038
350,22.071
353,22.104
355,22.138
356,22.171
357,22.204
358,22.238
359,22.289
359,22.322
360,22.355
361,22.422
362,22.488
364,22.522
366,22.555
367,22.588
369,22.622
374,22.655
379,22.688
383,22.722
384,22.755
385,22.788
386,22.839
388,22.872
389,22.905
390,22.939
391,22.972
392,23.072
393,23.139
394,23.239
395,23.272
397,23.306
398,23.339
399,23.372
400,23.422
401,23.49
402,23.539
403,23.606
