vx,Time
1.46198830409357,0
2.39808153477218,2.052
59.7014925373133,2.085
59.7014925373133,2.119
74.6268656716421,2.152
89.5522388059705,2.186
90.9090909090911,2.219
74.6268656716416,2.252
74.6268656716416,2.286
121.212121212122,2.319
149.253731343283,2.352
179.10447761194,2.386
194.029850746269,2.419
164.179104477612,2.453
196.969696969696,2.486
194.029850746269,2.519
166.666666666667,2.553
181.818181818181,2.585
161.764705882353,2.619
164.179104477613,2.653
212.121212121213,2.686
208.955223880596,2.719
208.955223880596,2.753
227.272727272728,2.786
205.882352941176,2.819
223.880597014925,2.854
227.272727272728,2.886
179.104477611941,2.92
121.212121212121,2.953
89.5522388059699,2.986
89.5522388059705,3.02
60.6060606060608,3.053
44.776119402985,3.086
44.776119402985,3.12
30.3030303030304,3.153
23.8095238095238,3.186
13.2450331125828,3.237
4.6189376443418,3.337
5.44959128065395,3.67
29.8507462686566,3.704
44.7761194029853,3.737
74.6268656716421,3.771
75.7575757575754,3.804
59.7014925373133,3.837
44.7761194029853,3.871
44.776119402985,3.904
44.776119402985,3.938
30.3030303030306,3.971
30.3030303030304,4.004
29.8507462686566,4.037
19.8019801980198,4.071
17.2413793103447,4.138
19.9999999999999,4.187
35.7142857142859,4.238
74.6268656716426,4.271
74.6268656716416,4.305
45.454545454545,4.338
29.8507462686566,4.371
29.850746268657,4.405
30.3030303030304,4.438
29.8507462686566,4.471
20.0000000000001,4.505
10.9289617486339,4.571
5.20833333333333,4.688
6.66666666666665,4.955
29.8507462686566,4.988
29.850746268657,5.022
30.3030303030304,5.055
14.9253731343283,5.088
14.9253731343283,5.122
29.8507462686566,5.155
14.9253731343283,5.189
15.1515151515152,5.222
29.850746268657,5.255
44.776119402985,5.289
45.454545454545,5.322
29.8507462686566,5.355
44.7761194029856,5.389
74.6268656716416,5.422
104.477611940298,5.456
121.212121212122,5.489
119.402985074627,5.522
134.328358208955,5.556
151.515151515152,5.589
149.253731343285,5.622
149.253731343283,5.656
149.253731343283,5.689
149.253731343283,5.723
151.515151515152,5.756
149.253731343283,5.789
164.179104477612,5.823
166.666666666667,5.856
164.179104477612,5.889
179.10447761194,5.923
181.818181818182,5.956
194.029850746271,5.989
223.880597014925,6.023
227.272727272725,6.056
238.805970149253,6.089
238.805970149256,6.123
212.121212121213,6.156
208.955223880596,6.189
179.10447761194,6.223
164.179104477612,6.256
179.10447761194,6.29
196.969696969697,6.323
238.805970149256,6.356
283.582089552238,6.39
283.582089552238,6.423
268.65671641791,6.457
268.65671641791,6.49
238.805970149253,6.524
227.272727272728,6.557
212.121212121213,6.59
164.179104477612,6.623
134.328358208955,6.657
136.363636363637,6.69
149.253731343285,6.723
164.179104477612,6.757
181.81818181818,6.79
166.666666666667,6.823
134.328358208957,6.856
117.647058823529,6.89
134.328358208955,6.924
151.515151515152,6.957
179.10447761194,6.99
220.588235294119,7.024
227.272727272728,7.058
227.272727272728,7.09
220.588235294116,7.124
223.880597014925,7.158
212.121212121213,7.191
164.179104477612,7.224
136.363636363637,7.258
136.363636363637,7.29
147.058823529413,7.324
134.328358208955,7.358
106.060606060605,7.391
104.477611940298,7.424
164.179104477614,7.458
181.818181818182,7.491
179.10447761194,7.524
208.955223880596,7.558
212.121212121213,7.591
223.880597014925,7.624
238.805970149253,7.658
257.575757575758,7.691
223.880597014925,7.724
164.179104477612,7.758
166.666666666667,7.791
149.253731343285,7.824
119.402985074627,7.858
104.477611940298,7.891
89.5522388059699,7.925
121.212121212122,7.958
166.666666666669,7.991
164.179104477612,8.024
179.10447761194,8.058
208.955223880596,8.091
238.805970149253,8.125
257.575757575755,8.158
238.805970149253,8.191
238.805970149259,8.225
223.880597014925,8.258
205.882352941172,8.292
196.969696969695,8.326
200.000000000002,8.358
208.955223880596,8.391
179.10447761194,8.425
149.253731343283,8.458
164.179104477612,8.492
181.818181818185,8.525
194.029850746268,8.558
208.955223880596,8.592
196.9696969697,8.625
194.029850746268,8.658
208.955223880596,8.692
212.121212121216,8.725
223.880597014925,8.758
208.955223880596,8.792
208.955223880596,8.825
208.955223880596,8.859
181.81818181818,8.892
194.029850746268,8.925
191.176470588236,8.959
212.12121212121,8.993
242.424242424246,9.025
238.805970149253,9.059
238.805970149253,9.092
194.029850746268,9.126
196.969696969695,9.159
223.880597014925,9.192
194.029850746268,9.226
208.955223880602,9.259
223.880597014925,9.293
196.969696969695,9.326
181.818181818185,9.359
134.328358208955,9.392
104.477611940298,9.426
149.253731343283,9.459
149.253731343283,9.493
104.477611940298,9.526
134.328358208955,9.56
151.515151515154,9.593
149.253731343283,9.626
149.253731343283,9.66
121.21212121212,9.693
149.253731343283,9.726
164.179104477616,9.76
181.81818181818,9.793
223.880597014925,9.826
220.588235294119,9.86
223.880597014925,9.894
242.42424242424,9.927
212.12121212121,9.96
196.9696969697,9.993
179.10447761194,10.026
149.253731343283,10.06
166.666666666669,10.093
179.10447761194,10.126
205.882352941172,10.16
238.805970149253,10.194
257.575757575762,10.227
272.727272727277,10.26
268.65671641791,10.293
268.65671641791,10.327
238.805970149253,10.36
205.882352941172,10.394
212.12121212121,10.428
196.9696969697,10.46
191.176470588236,10.494
179.10447761194,10.528
166.666666666669,10.561
181.81818181818,10.594
149.253731343283,10.627
119.402985074627,10.661
136.363636363635,10.694
164.179104477616,10.727
149.253731343283,10.761
119.402985074627,10.794
119.402985074627,10.828
136.363636363635,10.861
164.179104477612,10.894
179.10447761194,10.928
196.9696969697,10.961
238.805970149253,10.994
205.882352941178,11.028
196.9696969697,11.062
242.42424242424,11.094
223.880597014925,11.128
181.81818181818,11.161
164.179104477612,11.194
176.470588235295,11.228
166.666666666665,11.262
149.253731343283,11.294
161.764705882354,11.329
153.846153846155,11.362
106.060606060605,11.394
89.5522388059699,11.428
90.9090909090924,11.461
89.5522388059699,11.494
88.2352941176476,11.528
89.5522388059699,11.562
60.6060606060599,11.595
44.776119402985,11.628
58.823529411765,11.662
106.060606060608,11.696
151.51515151515,11.728
134.328358208955,11.762
121.212121212123,11.795
106.060606060605,11.828
104.477611940298,11.861
117.64705882353,11.895
104.477611940298,11.929
90.9090909090924,11.962
134.328358208955,11.995
161.76470588235,12.029
136.363636363635,12.063
106.060606060608,12.095
58.823529411765,12.129
60.6060606060599,12.163
181.818181818185,12.195
191.176470588236,12.229
89.5522388059699,12.263
60.6060606060599,12.296
89.5522388059699,12.329
104.477611940298,12.363
74.6268656716416,12.396
59.7014925373149,12.43
45.454545454545,12.463
30.30303030303,12.496
24.0963855421686,12.529
12.0481927710843,12.579
14.9253731343283,12.612
14.9253731343283,12.646
0,12.679
0,12.713
0,12.746
0,12.779
0,12.896
0,13.631
0,13.697
0,13.83
0,13.964
0,14.048
0,14.098
0,14.131
0,14.164
0,14.198
0,14.231
0,14.264
0,14.298
0,14.331
0,14.364
-11.904761904762,14.414
-14.9253731343283,14.448
-15.1515151515154,14.481
-14.9253731343283,14.514
-14.7058823529409,14.548
-14.9253731343283,14.582
-15.1515151515154,14.615
