x,Time
0,0.0
0,1.117
0,1.15
0,1.233
0,1.334
0,1.401
0,1.501
0,1.551
0,1.601
0,1.634
0,1.668
0,1.701
0,1.735
0,1.768
0,1.802
0,1.835
0,1.868
0,1.901
0,1.935
0,1.968
0,2.018
0,2.068
0,2.101
0,2.151
0,2.185
0,2.219
0,2.251
0,2.285
0,2.368
0,2.502
0,2.535
0,2.568
0,2.602
0,2.635
0,2.668
0,2.702
0,2.735
0,2.769
0,2.802
0,2.835
0,2.868
0,2.902
0,2.935
0,2.969
0,3.002
0,3.036
0,3.085
0,3.119
0,3.152
0,3.185
0,3.236
0,3.269
0,3.303
0,3.336
0,3.369
0,3.419
0,3.469
0,3.57
0,3.937
0,4.003
0,4.47
0,5.905
0,6.072
2,6.155
4,6.189
6,6.222
7,6.256
8,6.289
9,6.339
10,6.389
11,6.423
13,6.456
16,6.489
19,6.522
23,6.556
26,6.59
28,6.624
29,6.656
30,6.707
31,6.756
32,6.79
33,6.823
36,6.856
39,6.89
41,6.923
42,6.957
44,6.99
45,7.023
46,7.056
48,7.09
49,7.123
50,7.156
51,7.19
52,7.223
52,7.307
53,7.34
53,7.374
53,7.407
53,7.44
53,7.474
54,7.507
56,7.541
58,7.574
61,7.607
63,7.641
65,7.674
68,7.707
71,7.741
75,7.774
79,7.807
81,7.84
83,7.873
84,7.908
84,7.941
85,7.975
85,8.025
86,8.075
86,8.108
86,8.141
86,8.175
86,8.209
86,8.241
86,8.275
86,8.309
86,8.341
86,8.375
86,8.409
86,8.442
86,8.475
86,8.508
86,8.542
86,8.591
86,8.675
86,8.742
86,8.792
86,8.875
86,9.026
86,9.092
87,9.125
88,9.16
90,9.192
92,9.226
95,9.26
98,9.293
100,9.325
103,9.358
106,9.392
109,9.426
113,9.459
115,9.492
117,9.526
119,9.559
121,9.592
123,9.626
125,9.659
127,9.692
129,9.725
130,9.759
131,9.793
131,9.826
131,9.859
132,9.893
132,9.925
132,9.959
133,9.993
133,10.026
134,10.06
135,10.143
135,10.242
134,11.995
134,27.243
134,27.277
134,27.31
134,27.343
134,27.377
134,27.41
134,27.444
135,27.477
135,27.51
135,27.56
136,27.593
136,27.626
137,27.66
138,27.694
139,27.728
141,27.76
142,27.795
144,27.828
145,27.861
146,27.894
147,27.928
148,27.961
149,27.995
150,28.061
151,28.095
153,28.128
155,28.162
157,28.195
158,28.227
159,28.261
160,28.295
161,28.327
161,28.361
163,28.395
165,28.428
167,28.462
170,28.495
173,28.528
175,28.561
176,28.595
177,28.628
178,28.662
178,28.695
178,28.728
179,28.761
179,28.795
179,28.828
180,28.878
181,28.995
182,29.062
183,29.111
184,29.162
185,29.212
186,29.262
188,29.296
190,29.329
193,29.363
195,29.395
197,29.43
198,29.463
199,29.496
200,29.579
200,29.679
200,29.762
201,29.797
202,29.847
204,29.88
205,29.912
206,29.945
208,29.98
209,30.012
212,30.046
214,30.08
217,30.114
220,30.147
223,30.18
225,30.213
228,30.247
229,30.28
230,30.313
231,30.346
232,30.38
232,30.413
232,30.496
233,30.53
233,30.563
234,30.596
234,30.63
236,30.663
237,30.697
240,30.73
243,30.763
247,30.797
249,30.83
252,30.863
254,30.898
255,30.931
256,30.963
258,30.997
261,31.031
264,31.065
266,31.098
268,31.131
270,31.163
271,31.197
272,31.231
273,31.264
273,31.297
273,31.331
273,31.364
273,31.414
273,31.48
274,31.514
277,31.547
280,31.582
282,31.615
283,31.647
284,31.681
284,31.714
285,31.748
286,31.815
286,31.897
287,31.932
287,31.981
287,32.065
288,32.265
290,32.299
293,32.332
298,32.365
303,32.4
306,32.432
309,32.466
311,32.499
312,32.532
313,32.566
314,32.633
315,32.782
315,32.882
315,32.966
315,32.999
315,33.033
315,33.066
315,33.099
315,33.133
315,33.183
316,33.283
317,33.4
318,33.433
319,33.467
320,33.5
322,33.533
324,33.567
326,33.6
329,33.634
331,33.667
332,33.7
333,33.733
334,33.767
335,33.818
336,33.85
337,33.9
338,33.933
340,33.967
341,34.0
344,34.034
347,34.067
352,34.101
356,34.134
359,34.166
362,34.201
365,34.233
368,34.268
371,34.301
373,34.334
375,34.367
377,34.4
379,34.434
382,34.468
