gaze_child,Time
2,0.0
2,0.1
2,0.2
2,0.3
2,0.4
2,0.5
2,0.6
2,0.7
2,0.8
2,0.9
1,1.0
1,1.1
1,1.2
2,1.3
2,1.4
2,1.5
2,1.6
2,1.7
2,1.8
2,1.9
2,2.0
2,2.1
2,2.2
2,2.3
2,2.4
2,2.5
12,2.6
12,2.7
12,2.8
12,2.9
12,3.0
12,3.1
12,3.2
12,3.3
12,3.4
12,3.5
12,3.6
12,3.7
12,3.8
12,3.9
12,4.0
12,4.1
12,4.2
12,4.3
12,4.4
12,4.5
2,4.6
2,4.7
2,4.8
2,4.9
2,5.0
2,5.1
2,5.2
2,5.3
2,5.4
2,5.5
2,5.6
3,5.7
3,5.8
3,5.9
3,6.0
3,6.1
3,6.2
7,6.3
7,6.4
7,6.5
7,6.6
7,6.7
7,6.8
1,6.9
1,7.0
1,7.1
1,7.2
1,7.3
4,7.4
4,7.5
0,7.6
12,7.7
12,7.8
12,7.9
4,8.0
4,8.1
4,8.2
4,8.3
4,8.4
4,8.5
4,8.6
4,8.7
1,8.8
1,8.9
2,9.0
2,9.1
2,9.2
2,9.3
2,9.4
2,9.5
2,9.6
2,9.7
2,9.8
2,9.9
2,10.0
2,10.1
2,10.2
2,10.3
2,10.4
2,10.5
2,10.6
2,10.7
2,10.8
2,10.9
2,11.0
2,11.1
2,11.2
2,11.3
2,11.4
2,11.5
2,11.6
2,11.7
2,11.8
2,11.9
2,12.0
2,12.1
12,12.2
12,12.3
12,12.4
12,12.5
12,12.6
12,12.7
12,12.8
12,12.9
12,13.0
12,13.1
12,13.2
2,13.3
2,13.4
2,13.5
2,13.6
4,13.7
4,13.8
4,13.9
4,14.0
4,14.1
4,14.2
4,14.3
2,14.4
2,14.5
2,14.6
1,14.7
1,14.8
1,14.9
1,15.0
1,15.1
1,15.2
1,15.3
1,15.4
1,15.5
1,15.6
1,15.7
1,15.8
1,15.9
1,16.0
1,16.1
1,16.2
1,16.3
1,16.4
1,16.5
1,16.6
1,16.7
1,16.8
1,16.9
1,17.0
0,17.1
0,17.2
0,17.3
1,17.4
1,17.5
1,17.6
1,17.7
1,17.8
1,17.9
1,18.0
1,18.1
1,18.2
1,18.3
1,18.4
1,18.5
1,18.6
1,18.7
1,18.8
1,18.9
1,19.0
1,19.1
1,19.2
1,19.3
1,19.4
1,19.5
1,19.6
1,19.7
1,19.8
1,19.9
1,20.0
1,20.1
1,20.2
1,20.3
1,20.4
2,20.5
2,20.6
2,20.7
2,20.8
2,20.9
2,21.0
2,21.1
2,21.2
2,21.3
2,21.4
1,21.5
1,21.6
2,21.7
2,21.8
2,21.9
2,22.0
2,22.1
2,22.2
2,22.3
2,22.4
2,22.5
2,22.6
2,22.7
2,22.8
2,22.9
2,23.0
2,23.1
2,23.2
2,23.3
2,23.4
2,23.5
2,23.6
2,23.7
2,23.8
2,23.9
2,24.0
2,24.1
2,24.2
2,24.3
2,24.4
2,24.5
2,24.6
2,24.7
2,24.8
2,24.9
2,25.0
2,25.1
2,25.2
1,25.3
1,25.4
1,25.5
1,25.6
1,25.7
1,25.8
1,25.9
1,26.0
1,26.1
2,26.2
2,26.3
2,26.4
2,26.5
2,26.6
2,26.7
2,26.8
2,26.9
4,27.0
4,27.1
4,27.2
4,27.3
1,27.4
1,27.5
1,27.6
1,27.7
1,27.8
1,27.9
1,28.0
1,28.1
1,28.2
1,28.3
1,28.4
1,28.5
1,28.6
1,28.7
2,28.8
2,28.9
2,29.0
2,29.1
1,29.2
1,29.3
1,29.4
1,29.5
1,29.6
1,29.7
1,29.8
1,29.9
1,30.0
1,30.1
1,30.2
1,30.3
1,30.4
1,30.5
1,30.6
1,30.7
1,30.8
1,30.9
1,31.0
1,31.1
1,31.2
1,31.3
1,31.4
1,31.5
1,31.6
1,31.7
1,31.8
1,31.9
1,32.0
1,32.1
1,32.2
4,32.3
4,32.4
4,32.5
4,32.6
4,32.7
1,32.8
1,32.9
1,33.0
1,33.1
1,33.2
1,33.3
1,33.4
