x,Time
0,0.0
3,2.286
9,2.319
24,2.352
32,2.386
37,2.42
41,2.453
43,2.486
46,2.519
50,2.553
53,2.586
55,2.62
58,2.653
62,2.687
68,2.719
76,2.753
92,2.787
110,2.82
128,2.853
146,2.887
164,2.92
179,2.954
191,2.988
202,3.02
211,3.053
221,3.086
232,3.12
245,3.153
259,3.187
273,3.22
287,3.253
301,3.287
314,3.321
327,3.354
338,3.387
349,3.42
360,3.454
369,3.488
379,3.521
390,3.554
400,3.588
411,3.62
422,3.654
434,3.687
447,3.721
460,3.755
474,3.787
489,3.821
506,3.855
521,3.888
536,3.922
551,3.954
564,3.988
576,4.022
587,4.055
598,4.087
610,4.122
621,4.154
632,4.188
642,4.222
653,4.255
664,4.288
675,4.322
687,4.355
699,4.389
711,4.422
721,4.455
734,4.489
748,4.522
762,4.555
775,4.589
791,4.622
801,4.655
819,4.689
836,4.722
848,4.755
862,4.789
880,4.822
891,4.855
908,4.889
918,4.922
931,4.956
943,4.989
954,5.023
967,5.055
980,5.089
994,5.123
1007,5.156
1020,5.19
1034,5.223
1048,5.255
1062,5.289
1076,5.322
1091,5.356
1104,5.39
1116,5.423
1127,5.456
1136,5.49
1146,5.522
1155,5.557
1164,5.59
1172,5.623
1180,5.657
1188,5.69
1195,5.722
1202,5.755
1208,5.789
1215,5.823
1222,5.856
1228,5.89
1236,5.924
1242,5.957
1247,5.99
1256,6.023
1264,6.057
1273,6.09
1281,6.123
1291,6.156
1301,6.19
1312,6.224
1312,6.257
1312,6.29
1312,6.323
1312,6.357
1312,6.39
1312,6.424
1312,6.456
1312,6.49
1312,6.524
1312,6.557
1312,6.591
1312,6.625
1312,6.657
1312,6.707
1312,6.824
1315,7.608
1319,7.642
1324,7.675
1328,7.709
1333,7.742
1336,7.775
1340,7.809
1343,7.842
1346,7.876
1348,7.909
1350,7.942
1353,7.975
1355,8.009
1357,8.042
1359,8.075
1362,8.109
1364,8.142
1366,8.175
1367,8.209
1369,8.242
1371,8.276
1373,8.309
1374,8.342
1375,8.376
1376,8.409
1376,8.442
1376,8.476
1376,8.509
1376,8.542
1376,8.576
1376,8.609
1376,8.643
1376,8.675
1376,8.709
1376,8.759
1376,8.793
1376,8.826
1377,8.859
1378,8.892
1380,8.926
1381,8.96
1383,8.993
1385,9.026
1388,9.06
1390,9.092
1393,9.126
1396,9.159
1398,9.193
1399,9.226
1401,9.26
1402,9.293
1403,9.327
1403,9.359
1404,9.394
1405,9.427
1405,9.461
1405,9.493
1406,9.527
1406,9.56
1406,9.593
1406,9.627
1406,9.66
1406,9.694
1406,9.726
1406,9.76
1406,9.794
1406,9.827
1406,9.86
1406,9.894
1406,9.927
1406,9.96
1406,9.994
1406,10.028
1406,10.061
1406,10.094
1406,10.127
1406,10.161
1406,10.194
1406,10.227
1406,10.261
1406,10.294
1407,10.328
1407,10.361
1407,10.394
1408,10.428
1409,10.461
1411,10.494
1412,10.528
1412,10.561
1413,10.594
1414,10.628
1414,10.662
1414,10.695
1414,10.728
1414,10.761
1414,10.795
1414,10.829
1414,10.862
1414,10.895
1414,10.928
1414,10.962
1414,10.995
1414,11.029
1412,11.062
1408,11.095
1405,11.129
1401,11.162
1398,11.195
1396,11.229
1395,11.262
1395,11.295
1394,11.329
1394,11.362
1394,11.395
1394,11.445
1394,11.495
1394,11.562
1395,11.595
1395,11.662
1396,11.695
1396,11.729
1396,11.779
1397,11.813
1397,11.846
1398,11.879
1398,11.912
1398,11.946
1399,11.979
1399,12.012
1399,12.045
1399,12.079
1399,12.112
1399,12.146
1399,12.179
1399,12.213
1399,12.246
1399,12.296
1399,12.329
1399,12.363
1398,12.396
1398,12.429
1395,12.463
1392,12.496
1388,12.53
1386,12.563
1384,12.596
1381,12.63
1379,12.663
1378,12.696
1376,12.73
1375,12.763
1374,12.796
1373,12.847
1372,12.88
1371,12.913
1370,12.947
1369,12.997
1369,13.03
1369,13.063
1369,13.098
1368,13.13
1368,13.163
1368,13.197
1369,13.23
1369,13.28
1369,13.314
1369,13.347
1370,13.38
1370,13.413
1370,13.447
1370,13.481
1370,13.514
1370,13.547
1370,13.581
1370,13.614
1370,13.647
1369,13.681
1369,13.714
1368,13.747
1367,13.781
1365,13.814
1364,13.848
1361,13.881
1359,13.914
1356,13.947
1355,13.982
1353,14.014
1351,14.047
1349,14.081
1347,14.114
1345,14.149
1343,14.182
1341,14.215
1339,14.249
1338,14.282
1337,14.315
1336,14.348
1335,14.382
1334,14.432
1333,14.465
1331,14.499
1329,14.532
1325,14.565
1321,14.599
1317,14.632
1313,14.666
1310,14.699
1305,14.732
1301,14.765
1298,14.799
1296,14.832
1294,14.865
1291,14.899
1289,14.932
1287,14.966
1285,14.999
1283,15.032
1282,15.065
1281,15.099
1281,15.132
1280,15.166
1280,15.2
1279,15.232
1279,15.267
1279,15.299
1279,15.333
1278,15.366
1278,15.399
1277,15.432
1277,15.465
1276,15.5
1275,15.533
1274,15.566
1272,15.599
1271,15.633
1270,15.666
1269,15.699
1269,15.733
1268,15.766
1267,15.8
1266,15.833
1265,15.866
1264,15.9
1264,15.933
