gaze_child,Time
3,0.0
3,0.1
3,0.2
3,0.3
3,0.4
3,0.5
3,0.6
3,0.7
3,0.8
3,0.9
4,1.0
4,1.1
1,1.2
1,1.3
1,1.4
1,1.5
1,1.6
1,1.7
1,1.8
1,1.9
1,2.0
1,2.1
1,2.2
1,2.3
1,2.4
1,2.5
1,2.6
1,2.7
1,2.8
1,2.9
1,3.0
1,3.1
1,3.2
1,3.3
1,3.4
1,3.5
1,3.6
1,3.7
1,3.8
1,3.9
1,4.0
1,4.1
1,4.2
1,4.3
1,4.4
1,4.5
1,4.6
1,4.7
1,4.8
1,4.9
1,5.0
1,5.1
1,5.2
1,5.3
1,5.4
1,5.5
1,5.6
1,5.7
1,5.8
1,5.9
1,6.0
1,6.1
1,6.2
1,6.3
1,6.4
1,6.5
1,6.6
1,6.7
1,6.8
1,6.9
1,7.0
1,7.1
1,7.2
1,7.3
1,7.4
1,7.5
1,7.6
1,7.7
1,7.8
1,7.9
1,8.0
1,8.1
1,8.2
1,8.3
1,8.4
1,8.5
1,8.6
1,8.7
1,8.8
1,8.9
1,9.0
1,9.1
1,9.2
1,9.3
1,9.4
1,9.5
1,9.6
1,9.7
1,9.8
1,9.9
1,10.0
1,10.1
1,10.2
1,10.3
1,10.4
1,10.5
1,10.6
1,10.7
1,10.8
1,10.9
1,11.0
1,11.1
1,11.2
1,11.3
1,11.4
1,11.5
1,11.6
1,11.7
1,11.8
1,11.9
1,12.0
1,12.1
1,12.2
1,12.3
1,12.4
1,12.5
1,12.6
1,12.7
1,12.8
1,12.9
1,13.0
1,13.1
2,13.2
2,13.3
2,13.4
2,13.5
2,13.6
2,13.7
2,13.8
2,13.9
2,14.0
1,14.1
2,14.2
2,14.3
2,14.4
2,14.5
2,14.6
2,14.7
2,14.8
2,14.9
2,15.0
2,15.1
2,15.2
2,15.3
2,15.4
2,15.5
2,15.6
2,15.7
2,15.8
2,15.9
2,16.0
2,16.1
2,16.2
2,16.3
2,16.4
2,16.5
2,16.6
2,16.7
2,16.8
2,16.9
2,17.0
2,17.1
2,17.2
2,17.3
2,17.4
2,17.5
2,17.6
1,17.7
1,17.8
1,17.9
1,18.0
1,18.1
1,18.2
1,18.3
1,18.4
1,18.5
1,18.6
1,18.7
1,18.8
1,18.9
1,19.0
1,19.1
1,19.2
1,19.3
1,19.4
1,19.5
1,19.6
1,19.7
1,19.8
1,19.9
1,20.0
1,20.1
1,20.2
1,20.3
1,20.4
1,20.5
1,20.6
1,20.7
1,20.8
1,20.9
1,21.0
1,21.1
1,21.2
1,21.3
1,21.4
1,21.5
1,21.6
1,21.7
1,21.8
1,21.9
1,22.0
1,22.1
1,22.2
1,22.3
1,22.4
1,22.5
1,22.6
1,22.7
1,22.8
1,22.9
1,23.0
1,23.1
1,23.2
1,23.3
1,23.4
1,23.5
1,23.6
1,23.7
1,23.8
1,23.9
1,24.0
1,24.1
1,24.2
1,24.3
1,24.4
1,24.5
1,24.6
1,24.7
1,24.8
1,24.9
1,25.0
1,25.1
1,25.2
1,25.3
1,25.4
1,25.5
1,25.6
1,25.7
1,25.8
1,25.9
1,26.0
1,26.1
1,26.2
1,26.3
1,26.4
1,26.5
1,26.6
1,26.7
1,26.8
1,26.9
1,27.0
1,27.1
1,27.2
1,27.3
1,27.4
1,27.5
1,27.6
1,27.7
1,27.8
1,27.9
1,28.0
1,28.1
1,28.2
1,28.3
1,28.4
1,28.5
1,28.6
1,28.7
1,28.8
1,28.9
1,29.0
1,29.1
1,29.2
1,29.3
1,29.4
1,29.5
1,29.6
1,29.7
1,29.8
1,29.9
1,30.0
1,30.1
1,30.2
1,30.3
1,30.4
1,30.5
1,30.6
1,30.7
1,30.8
1,30.9
1,31.0
1,31.1
1,31.2
1,31.3
1,31.4
1,31.5
1,31.6
1,31.7
1,31.8
1,31.9
1,32.0
1,32.1
1,32.2
1,32.3
1,32.4
1,32.5
1,32.6
1,32.7
1,32.8
1,32.9
1,33.0
1,33.1
1,33.2
1,33.3
1,33.4
1,33.5
1,33.6
1,33.7
1,33.8
1,33.9
1,34.0
1,34.1
1,34.2
1,34.3
1,34.4
1,34.5
1,34.6
1,34.7
1,34.8
1,34.9
1,35.0
1,35.1
1,35.2
1,35.3
1,35.4
1,35.5
1,35.6
1,35.7
1,35.8
1,35.9
1,36.0
1,36.1
1,36.2
1,36.3
1,36.4
1,36.5
1,36.6
1,36.7
1,36.8
1,36.9
1,37.0
1,37.1
1,37.2
1,37.3
1,37.4
1,37.5
1,37.6
1,37.7
1,37.8
1,37.9
1,38.0
1,38.1
1,38.2
1,38.3
1,38.4
1,38.5
1,38.6
1,38.7
1,38.8
1,38.9
1,39.0
1,39.1
1,39.2
1,39.3
1,39.4
1,39.5
1,39.6
1,39.7
1,39.8
1,39.9
1,40.0
1,40.1
1,40.2
1,40.3
1,40.4
1,40.5
1,40.6
1,40.7
1,40.8
1,40.9
1,41.0
1,41.1
1,41.2
1,41.3
1,41.4
1,41.5
1,41.6
1,41.7
1,41.8
1,41.9
1,42.0
1,42.1
1,42.2
1,42.3
1,42.4
1,42.5
1,42.6
1,42.7
1,42.8
3,42.9
3,43.0
3,43.1
3,43.2
3,43.3
1,43.4
1,43.5
1,43.6
1,43.7
1,43.8
1,43.9
1,44.0
1,44.1
1,44.2
1,44.3
1,44.4
1,44.5
1,44.6
1,44.7
1,44.8
1,44.9
1,45.0
1,45.1
1,45.2
1,45.3
1,45.4
1,45.5
1,45.6
1,45.7
1,45.8
1,45.9
1,46.0
1,46.1
1,46.2
1,46.3
1,46.4
1,46.5
1,46.6
1,46.7
1,46.8
1,46.9
1,47.0
1,47.1
1,47.2
1,47.3
1,47.4
1,47.5
1,47.6
1,47.7
1,47.8
1,47.9
1,48.0
1,48.1
1,48.2
1,48.3
1,48.4
1,48.5
1,48.6
1,48.7
1,48.8
1,48.9
1,49.0
1,49.1
1,49.2
1,49.3
1,49.4
1,49.5
1,49.6
1,49.7
1,49.8
1,49.9
1,50.0
1,50.1
1,50.2
1,50.3
1,50.4
1,50.5
1,50.6
1,50.7
1,50.8
1,50.9
1,51.0
1,51.1
1,51.2
1,51.3
1,51.4
1,51.5
1,51.6
1,51.7
1,51.8
1,51.9
1,52.0
1,52.1
1,52.2
1,52.3
1,52.4
1,52.5
1,52.6
1,52.7
1,52.8
1,52.9
1,53.0
1,53.1
1,53.2
1,53.3
1,53.4
1,53.5
1,53.6
1,53.7
1,53.8
1,53.9
1,54.0
1,54.1
1,54.2
1,54.3
1,54.4
1,54.5
1,54.6
1,54.7
1,54.8
1,54.9
1,55.0
1,55.1
1,55.2
1,55.3
1,55.4
1,55.5
1,55.6
1,55.7
1,55.8
1,55.9
1,56.0
1,56.1
1,56.2
1,56.3
1,56.4
1,56.5
1,56.6
1,56.7
1,56.8
1,56.9
1,57.0
1,57.1
1,57.2
1,57.3
1,57.4
1,57.5
1,57.6
1,57.7
1,57.8
1,57.9
1,58.0
1,58.1
1,58.2
1,58.3
1,58.4
1,58.5
1,58.6
1,58.7
1,58.8
1,58.9
1,59.0
1,59.1
1,59.2
1,59.3
1,59.4
1,59.5
1,59.6
1,59.7
1,59.8
1,59.9
1,60.0
1,60.1
1,60.2
1,60.3
1,60.4
1,60.5
1,60.6
1,60.7
3,60.8
3,60.9
3,61.0
3,61.1
3,61.2
3,61.3
1,61.4
1,61.5
1,61.6
1,61.7
1,61.8
1,61.9
1,62.0
1,62.1
1,62.2
1,62.3
1,62.4
1,62.5
1,62.6
1,62.7
1,62.8
1,62.9
1,63.0
1,63.1
1,63.2
1,63.3
1,63.4
1,63.5
1,63.6
1,63.7
1,63.8
1,63.9
1,64.0
1,64.1
1,64.2
1,64.3
1,64.4
1,64.5
1,64.6
1,64.7
1,64.8
1,64.9
1,65.0
1,65.1
1,65.2
1,65.3
1,65.4
1,65.5
1,65.6
1,65.7
1,65.8
1,65.9
1,66.0
1,66.1
1,66.2
1,66.3
1,66.4
1,66.5
1,66.6
1,66.7
1,66.8
1,66.9
1,67.0
1,67.1
1,67.2
1,67.3
1,67.4
1,67.5
1,67.6
1,67.7
1,67.8
1,67.9
0,68.0
