gaze_parent,Time
2,0.0
2,0.1
1,0.2
1,0.3
1,0.4
1,0.5
1,0.6
1,0.7
1,0.8
1,0.9
4,1.0
4,1.1
3,1.2
3,1.3
4,1.4
4,1.5
4,1.6
4,1.7
4,1.8
4,1.9
4,2.0
2,2.1
2,2.2
2,2.3
2,2.4
2,2.5
2,2.6
2,2.7
2,2.8
2,2.9
2,3.0
2,3.1
2,3.2
2,3.3
2,3.4
2,3.5
2,3.6
4,3.7
4,3.8
4,3.9
4,4.0
4,4.1
4,4.2
4,4.3
4,4.4
4,4.5
4,4.6
1,4.7
1,4.8
1,4.9
1,5.0
1,5.1
1,5.2
1,5.3
1,5.4
2,5.5
2,5.6
2,5.7
2,5.8
2,5.9
1,6.0
1,6.1
1,6.2
1,6.3
1,6.4
1,6.5
1,6.6
1,6.7
1,6.8
1,6.9
1,7.0
1,7.1
1,7.2
1,7.3
1,7.4
1,7.5
1,7.6
1,7.7
1,7.8
1,7.9
1,8.0
4,8.1
4,8.2
4,8.3
2,8.4
2,8.5
2,8.6
2,8.7
2,8.8
2,8.9
2,9.0
2,9.1
2,9.2
2,9.3
2,9.4
2,9.5
2,9.6
2,9.7
2,9.8
2,9.9
2,10.0
2,10.1
2,10.2
2,10.3
2,10.4
2,10.5
2,10.6
2,10.7
2,10.8
2,10.9
2,11.0
2,11.1
2,11.2
2,11.3
2,11.4
2,11.5
2,11.6
2,11.7
2,11.8
1,11.9
1,12.0
1,12.1
1,12.2
1,12.3
1,12.4
1,12.5
1,12.6
1,12.7
1,12.8
1,12.9
1,13.0
1,13.1
1,13.2
1,13.3
1,13.4
2,13.5
2,13.6
2,13.7
1,13.8
1,13.9
1,14.0
1,14.1
1,14.2
1,14.3
1,14.4
1,14.5
1,14.6
1,14.7
1,14.8
1,14.9
1,15.0
1,15.1
4,15.2
4,15.3
4,15.4
1,15.5
1,15.6
1,15.7
1,15.8
1,15.9
1,16.0
1,16.1
1,16.2
1,16.3
4,16.4
4,16.5
1,16.6
1,16.7
1,16.8
1,16.9
1,17.0
1,17.1
1,17.2
1,17.3
1,17.4
1,17.5
1,17.6
1,17.7
1,17.8
1,17.9
1,18.0
1,18.1
1,18.2
1,18.3
1,18.4
1,18.5
1,18.6
1,18.7
1,18.8
1,18.9
1,19.0
1,19.1
1,19.2
1,19.3
1,19.4
1,19.5
1,19.6
2,19.7
2,19.8
2,19.9
2,20.0
2,20.1
2,20.2
2,20.3
2,20.4
2,20.5
2,20.6
2,20.7
2,20.8
4,20.9
4,21.0
4,21.1
4,21.2
4,21.3
2,21.4
2,21.5
2,21.6
2,21.7
2,21.8
2,21.9
2,22.0
1,22.1
1,22.2
1,22.3
1,22.4
1,22.5
1,22.6
1,22.7
1,22.8
1,22.9
1,23.0
1,23.1
1,23.2
1,23.3
1,23.4
1,23.5
1,23.6
1,23.7
1,23.8
1,23.9
1,24.0
1,24.1
1,24.2
1,24.3
1,24.4
1,24.5
1,24.6
1,24.7
1,24.8
1,24.9
1,25.0
1,25.1
1,25.2
1,25.3
1,25.4
1,25.5
1,25.6
1,25.7
1,25.8
1,25.9
1,26.0
1,26.1
2,26.2
2,26.3
2,26.4
2,26.5
2,26.6
4,26.7
4,26.8
4,26.9
4,27.0
4,27.1
4,27.2
4,27.3
2,27.4
2,27.5
2,27.6
2,27.7
2,27.8
2,27.9
2,28.0
2,28.1
2,28.2
2,28.3
1,28.4
1,28.5
1,28.6
1,28.7
1,28.8
4,28.9
4,29.0
4,29.1
4,29.2
4,29.3
4,29.4
4,29.5
4,29.6
1,29.7
1,29.8
1,29.9
1,30.0
1,30.1
1,30.2
1,30.3
1,30.4
1,30.5
1,30.6
1,30.7
1,30.8
1,30.9
1,31.0
1,31.1
1,31.2
1,31.3
1,31.4
1,31.5
1,31.6
1,31.7
1,31.8
1,31.9
1,32.0
1,32.1
1,32.2
1,32.3
1,32.4
1,32.5
1,32.6
1,32.7
1,32.8
1,32.9
1,33.0
1,33.1
1,33.2
1,33.3
1,33.4
